starting_balance,total_income,total_expenses,avg_daily_burn,transaction_count,runway_days
100,6800.0,6682.0,267.28,30,2
300,6800.0,6682.0,267.28,30,2
500,6800.0,6682.0,267.28,30,2
800,6800.0,6682.0,267.28,30,2
1200,6800.0,6682.0,267.28,30,999
1500,6800.0,6682.0,267.28,30,999
2000,6800.0,6682.0,267.28,30,999
3000,6800.0,6682.0,267.28,30,999
5000,6800.0,6682.0,267.28,30,999
100,2400.0,9280.0,386.6666666666667,28,0
300,2400.0,9280.0,386.6666666666667,28,0
500,2400.0,9280.0,386.6666666666667,28,0
800,2400.0,9280.0,386.6666666666667,28,0
1200,2400.0,9280.0,386.6666666666667,28,2
1500,2400.0,9280.0,386.6666666666667,28,5
2000,2400.0,9280.0,386.6666666666667,28,7
3000,2400.0,9280.0,386.6666666666667,28,11
5000,2400.0,9280.0,386.6666666666667,28,15
100,11000.0,3832.0,159.66666666666666,31,999
300,11000.0,3832.0,159.66666666666666,31,999
500,11000.0,3832.0,159.66666666666666,31,999
800,11000.0,3832.0,159.66666666666666,31,999
1200,11000.0,3832.0,159.66666666666666,31,999
1500,11000.0,3832.0,159.66666666666666,31,999
2000,11000.0,3832.0,159.66666666666666,31,999
3000,11000.0,3832.0,159.66666666666666,31,999
5000,11000.0,3832.0,159.66666666666666,31,999
