date,amount,type,category
2026-01-01,1500,income,salary
2026-01-02,50,expense,food
2026-01-03,20,expense,transport
2026-01-04,800,expense,rent
2026-01-05,100,expense,utilities
2026-01-06,1500,income,salary
2026-01-07,60,expense,food
2026-01-08,25,expense,transport
2026-01-09,150,expense,entertainment
2026-01-10,1500,income,salary
2026-01-11,55,expense,food
2026-01-12,22,expense,transport
2026-01-13,800,expense,rent
2026-01-14,120,expense,utilities
2026-01-15,1500,income,salary
2026-01-16,500,expense,medical
2026-01-17,300,expense,food
2026-01-18,50,expense,transport
2026-01-19,200,expense,entertainment
2026-01-20,1500,income,salary
2026-01-21,600,expense,food
2026-01-22,100,expense,transport
2026-01-23,800,expense,rent
2026-01-24,150,expense,utilities
2026-01-25,800,income,salary
2026-01-26,400,expense,food
2026-01-27,80,expense,transport
2026-01-28,300,expense,entertainment
2026-01-29,100,expense,utilities
2026-01-30,700,expense,food
2026-01-31,200,expense,medical
2026-02-01,800,expense,food
2026-02-02,150,expense,transport
2026-02-03,500,expense,emergency
2026-02-04,600,income,salary
2026-02-05,600,expense,food
2026-02-06,100,expense,transport
2026-02-07,200,expense,entertainment
2026-02-08,800,expense,rent
2026-02-09,150,expense,utilities
2026-02-10,500,income,salary
2026-02-11,700,expense,food
2026-02-12,200,expense,transport
2026-02-13,400,expense,emergency
2026-02-14,800,expense,food
2026-02-15,250,expense,medical
2026-02-16,600,expense,entertainment
2026-02-17,300,income,salary
2026-02-18,800,expense,rent
2026-02-19,300,expense,food
2026-02-20,150,expense,transport
2026-02-21,200,expense,utilities
2026-02-22,400,expense,food
2026-02-23,350,expense,entertainment
2026-02-24,100,expense,medical
2026-02-25,1000,income,salary
2026-02-26,200,expense,food
2026-02-27,30,expense,transport
2026-02-28,500,expense,rent
2026-03-01,80,expense,utilities
2026-03-02,1000,income,salary
2026-03-03,150,expense,food
2026-03-04,25,expense,transport
2026-03-05,500,expense,rent
2026-03-06,90,expense,utilities
2026-03-07,1000,income,salary
2026-03-08,180,expense,food
2026-03-09,40,expense,transport
2026-03-10,50,expense,entertainment
2026-03-11,1000,income,salary
2026-03-12,160,expense,food
2026-03-13,35,expense,transport
2026-03-14,500,expense,rent
2026-03-15,85,expense,utilities
2026-03-16,2000,income,salary
2026-03-17,80,expense,food
2026-03-18,20,expense,transport
2026-03-19,100,expense,entertainment
2026-03-20,2000,income,salary
2026-03-21,100,expense,food
2026-03-22,25,expense,transport
2026-03-23,1000,expense,rent
2026-03-24,150,expense,utilities
2026-03-25,2000,income,salary
2026-03-26,120,expense,food
2026-03-27,30,expense,transport
2026-03-28,200,expense,entertainment
2026-03-29,2000,income,salary
2026-03-30,90,expense,food
2026-03-31,22,expense,transport
